Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
AMPH|273,6.6593,14.6122
AMTN|401138,8.879,0
AMT|275,72.1421,176.0172
AMY1A|276,5.5494,648.5575
AMY2A|279,0,8.6175
AMY2B|280,23.7403,129.0483
AMZ1|155185,0,5.2454
AMZ2P1|201283,194.2286,187.3361
AMZ2|51321,1790.2331,1306.4818
ANAPC10|10393,339.6226,241.2889
ANAPC11|51529,5660.3774,1816.7853
ANAPC13|25847,1943.9068,1509.4342
ANAPC16|119504,5660.3774,3917.1975
ANAPC1|64682,361.8202,337.5796
ANAPC2|29882,234.1842,662.7951
ANAPC4|29945,422.8635,396.4031
ANAPC5|51433,4180.9101,2109.7789
ANAPC7|51434,1418.424,863.6193
ANGEL1|23357,508.3241,527.1637
ANGEL2|90806,559.3785,544.7733
ANGPT1|284,153.1632,1472.8363
ANGPT2|285,246.3929,172.7239
ANGPT4|51378,0,86.9239
ANGPTL1|9068,27.7469,355.1892
ANGPTL2|23452,879.0233,538.7786
ANGPTL3|27329,1.1099,0.3747
ANGPTL4|51129,502.7747,174.5972
ANGPTL5|253935,0,21.3563
ANGPTL6|83854,15.1609,35.5377
ANGPTL7|10218,0,39.7152
ANG|283,1050.9989,563.4283
ANK1|286,78.8013,13.4882
ANK2|287,86.5705,242.7876
ANK3|288,109.8779,877.1075
ANKAR|150709,42.1754,27.7257
ANKDD1A|348094,39.9556,71.1877
ANKFN1|162282,0,13.1135
ANKFY1|51479,833.5183,1563.5069
ANKHD1-EIF4EBP3|404734,255.0277,715.8374
ANKHD1|54882,1690.0888,1063.1547
ANKH|56172,316.3152,873.7355
ANKIB1|54467,2224.1953,708.1304
ANKK1|255239,9.9889,7.8681
ANKLE1|126549,52.1643,5.2454
ANKLE2|23141,996.6704,1041.2139
ANKMY1|51281,92.1199,259.2731
ANKMY2|57037,428.4129,515.5489
ANKRA2|57763,665.9267,281.0041
ANKRD10|55608,898.6349,1047.2087
ANKRD11|29123,639.6115,1499.8764
ANKRD12|23253,407.3252,595.3541
ANKRD13A|88455,862.3751,1499.438
ANKRD13B|124930,197.5583,20.2323
ANKRD13C|81573,516.0932,482.5777
ANKRD13D|338692,266.3707,417.3848
ANKRD16|54522,149.8335,95.725
ANKRD17|26057,388.4573,1124.0165
ANKRD19|138649,46.6149,37.0925
ANKRD1|27063,11.0988,458.2241
ANKRD20A3|441425,0,5.6201
ANKRD20A4|728747,0,0
ANKRD20B|729171,1.1099,2.9974
ANKRD22|118932,473.9179,29.9738
ANKRD23|200539,26.6371,12.7389
ANKRD24|170961,2.2198,21.731
ANKRD26P1|124149,0,0
ANKRD26|22852,71.0322,62.5703
ANKRD27|84079,714.7614,819.7827
ANKRD28|23243,596.0044,789.4342
ANKRD29|147463,25.5272,736.9801
ANKRD2|26287,2.2198,13.1135
ANKRD30A|91074,0,0
ANKRD30B|374860,0,0
ANKRD31|256006,1.1099,0.7493
ANKRD32|84250,450.6104,70.4384
ANKRD33|341405,0,0
ANKRD34A|284615,4.4395,9.7415
ANKRD34B|340120,2.2198,0.7493
ANKRD34C|390616,0,0.3747
ANKRD35|148741,126.5261,117.6471
ANKRD36BP1|84832,17.758,50.2061
ANKRD36B|57730,17.758,3.372
ANKRD36|375248,125.4162,30.3484
ANKRD37|353322,262.0533,300.5995
ANKRD39|51239,632.6304,195.9535
ANKRD40|91369,648.1687,1605.0955
ANKRD42|338699,88.7902,242.0382
ANKRD43|134548,5.5494,17.2349
ANKRD44|91526,18.8679,149.8689
ANKRD45|339416,3.3296,65.9423
ANKRD46|157567,1240.8435,595.665
ANKRD49|54851,459.4895,266.7666
ANKRD50|57182,530.5216,588.61
ANKRD52|283373,298.5572,566.879
ANKRD53|79998,3.3296,20.2323
ANKRD54|129138,315.2053,399.4005
ANKRD55|79722,3.3296,5.9948
ANKRD56|345079,4.4395,96.6654
ANKRD57|65124,310.7658,635.8187
ANKRD58|347454,29.9667,148.3702
ANKRD5|63926,300.7769,101.1615
ANKRD6|22881,189.6448,361.3825
ANKRD7|56311,14.4284,0
ANKRD9|122416,38.8457,70.813
ANKS1A|23294,475.0277,1624.5785
ANKS1B|56899,0,4.1214
ANKS3|124401,118.7569,160.7344
ANKS4B|257629,0,0.7493
ANKS6|203286,388.4573,454.4773
